Country,Country Code,Region,Year,Mortality_Rate,yhat_lower,yhat_upper,Model_Source,Model_Path
Afghanistan,AFG,South Asia,2025,2.337597983261096,-2.1980724340549678,6.740370554354339,country,saved/country_Afghanistan.pkl
Albania,ALB,Europe and Central Asia,2025,,,,no_model_insufficient_data,
Algeria,DZA,Middle East and North Africa,2025,3.8306788977166484,-1.612114803389517,9.68082403854688,fallback_region:Middle East and North Africa,saved/region_Middle_East_and_North_Africa.pkl
American Samoa,ASM,East Asia and Pacific,2025,,,,no_model_insufficient_data,
Angola,AGO,Sub-Saharan Africa,2025,0.48463622322887256,-0.3076742228197536,1.2338916453521656,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Antigua and Barbuda,ATG,Latin America and Caribbean,2025,,,,no_model_insufficient_data,
Argentina,ARG,Latin America and Caribbean,2025,-0.884106505634722,-10.61401594313848,8.913382898773978,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Armenia,ARM,Middle East and North Africa,2025,,,,no_model_insufficient_data,
Australia,AUS,East Asia and Pacific,2025,-0.017059604009252143,-0.5765669239303522,0.587280296545762,country,saved/country_Australia.pkl
Austria,AUT,Europe and Central Asia,2025,3.33736362202701,-0.9272916980176628,7.509251641087263,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Azerbaijan,AZE,Middle East and North Africa,2025,,,,no_model_insufficient_data,
Bahamas,BHS,Latin America and Caribbean,2025,,,,no_model_insufficient_data,
Bangladesh,BGD,South Asia,2025,-0.023184963553931008,-0.9356676833067312,0.911357409326121,country,saved/country_Bangladesh.pkl
Barbados,BRB,Latin America and Caribbean,2025,,,,no_model_insufficient_data,
Belarus,BLR,Europe and Central Asia,2025,,,,no_model_insufficient_data,
Belgium,BEL,Europe and Central Asia,2025,3.33736362202701,-0.8544809816632023,7.618475348812286,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Belize,BLZ,Latin America and Caribbean,2025,,,,no_model_insufficient_data,
Benin,BEN,Sub-Saharan Africa,2025,0.48463622322887256,-0.31626897282660305,1.2421905326521603,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Bermuda,BMU,North America,2025,,,,no_model_insufficient_data,
Bhutan,BTN,South Asia,2025,,,,no_model_insufficient_data,
Bolivia (Plurinational State of),BOL,Latin America and Caribbean,2025,-0.884106505634722,-10.809479667387594,8.575349290616971,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Bosnia and Herzegovina,BIH,Europe and Central Asia,2025,,,,no_model_insufficient_data,
Botswana,BWA,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Brazil,BRA,Latin America and Caribbean,2025,0.10546183451704187,-0.03918789687989134,0.2533790375405231,country,saved/country_Brazil.pkl
British Virgin Islands,VGB,Latin America and Caribbean,2025,,,,no_model_insufficient_data,
Bulgaria,BGR,Europe and Central Asia,2025,3.33736362202701,-0.8743629859266152,7.648847599360677,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Burkina Faso,BFA,Sub-Saharan Africa,2025,0.48463622322887256,-0.3509209496473969,1.2466713389566368,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Burundi,BDI,Sub-Saharan Africa,2025,0.48463622322887256,-0.3510597634522321,1.191723109936066,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Cabo Verde,CPV,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Cambodia,KHM,East Asia and Pacific,2025,-0.1800649210969412,-3.3303218038328755,2.890197179476198,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Cameroon,CMR,Sub-Saharan Africa,2025,0.48463622322887256,-0.2875521609823047,1.3203889332211305,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Canada,CAN,North America,2025,0.21017308052293387,0.03919906154915554,0.3637720021411265,fallback_region:North America,saved/region_North_America.pkl
Cayman Islands,CYM,Latin America and Caribbean,2025,,,,no_model_insufficient_data,
Central African Republic,CAF,Sub-Saharan Africa,2025,0.48463622322887256,-0.28829340978261686,1.2553540495437314,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Chad,TCD,Sub-Saharan Africa,2025,0.48463622322887256,-0.34907660425216985,1.3096610900333554,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Chile,CHL,Latin America and Caribbean,2025,-0.884106505634722,-11.180440180991939,9.260943591935774,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
China,CHN,East Asia and Pacific,2025,-0.2069503660874966,-1.6713825147956658,1.4469638411499774,country,saved/country_China.pkl
"China, Hong Kong Special Administrative Region",HKG,East Asia and Pacific,2025,,,,no_model_insufficient_data,
"China, Macao Special Administrative Region",MAC,East Asia and Pacific,2025,,,,no_model_insufficient_data,
Colombia,COL,Latin America and Caribbean,2025,0.20517963794581728,-0.15490555710231474,0.5629569699779834,country,saved/country_Colombia.pkl
Comoros,COM,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Congo,COG,Sub-Saharan Africa,2025,0.48463622322887256,-0.2992264907293358,1.2510434713018237,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Costa Rica,CRI,Latin America and Caribbean,2025,-0.884106505634722,-9.932914021287017,8.482181832543557,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Croatia,HRV,Europe and Central Asia,2025,,,,no_model_insufficient_data,
Cuba,CUB,Latin America and Caribbean,2025,-0.884106505634722,-10.69384263499609,8.97426167746549,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Cyprus,CYP,Middle East and North Africa,2025,,,,no_model_insufficient_data,
Czechia,CZE,Europe and Central Asia,2025,3.33736362202701,-0.8476668271484167,7.6876739582254245,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Côte d’Ivoire,CIV,Sub-Saharan Africa,2025,0.48463622322887256,-0.27799624641069154,1.2261595414281465,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Democratic People's Republic of Korea,PRK,East Asia and Pacific,2025,-0.1800649210969412,-3.179560264740347,3.1542020455099262,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Democratic Republic of the Congo,COD,Sub-Saharan Africa,2025,0.8811615727721185,-0.9146146516223419,2.492183742399045,country,saved/country_Democratic_Republic_of_the_Congo.pkl
Denmark,DNK,Europe and Central Asia,2025,,,,no_model_insufficient_data,
Djibouti,DJI,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Dominica,DMA,Latin America and Caribbean,2025,,,,no_model_insufficient_data,
Dominican Republic,DOM,Latin America and Caribbean,2025,-0.884106505634722,-10.599615210751917,9.240726091062074,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Ecuador,ECU,Latin America and Caribbean,2025,-0.884106505634722,-10.374895404202944,8.589231533143685,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Egypt,EGY,Middle East and North Africa,2025,,,,no_model_insufficient_data,
El Salvador,SLV,Latin America and Caribbean,2025,-0.884106505634722,-10.718602553740809,8.75641156822629,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Equatorial Guinea,GNQ,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Eritrea,ERI,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Estonia,EST,Europe and Central Asia,2025,,,,no_model_insufficient_data,
Eswatini,SWZ,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Ethiopia,ETH,Sub-Saharan Africa,2025,0.48463622322887256,-0.37748904561210594,1.2836167660045474,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Fiji,FJI,East Asia and Pacific,2025,-0.1800649210969412,-3.686491894029393,2.844968258607198,fallback_region:East Asia and Pacific,saved/region_East_Asia_and_Pacific.pkl
Finland,FIN,Europe and Central Asia,2025,,,,no_model_insufficient_data,
France,FRA,Europe and Central Asia,2025,1.4817628120378892,-6.907622764785396,9.516291950769705,country,saved/country_France.pkl
French Polynesia,PYF,East Asia and Pacific,2025,,,,no_model_insufficient_data,
Gabon,GAB,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Gambia,GMB,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Georgia,GEO,Middle East and North Africa,2025,,,,no_model_insufficient_data,
Germany,DEU,Europe and Central Asia,2025,3.33736362202701,-0.4927400166221791,7.679149264549323,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Ghana,GHA,Sub-Saharan Africa,2025,0.48463622322887256,-0.2974920295613888,1.2620004646192688,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Greece,GRC,Europe and Central Asia,2025,3.33736362202701,-1.2617452029221006,7.3626553122664316,fallback_region:Europe and Central Asia,saved/region_Europe_and_Central_Asia.pkl
Grenada,GRD,Latin America and Caribbean,2025,,,,no_model_insufficient_data,
Guam,GUM,East Asia and Pacific,2025,,,,no_model_insufficient_data,
Guatemala,GTM,Latin America and Caribbean,2025,0.3868851702066967,-2.6054351499739745,3.5637023470851097,country,saved/country_Guatemala.pkl
Guinea,GIN,Sub-Saharan Africa,2025,0.48463622322887256,-0.32718804895736264,1.251940133749517,fallback_region:Sub-Saharan Africa,saved/region_Sub-Saharan_Africa.pkl
Guinea-Bissau,GNB,Sub-Saharan Africa,2025,,,,no_model_insufficient_data,
Guyana,GUY,Latin America and Caribbean,2025,,,,no_model_insufficient_data,
Haiti,HTI,Latin America and Caribbean,2025,-59.69887452424803,-635.1974110875744,500.0840985204936,country,saved/country_Haiti.pkl
Honduras,HND,Latin America and Caribbean,2025,-0.884106505634722,-10.859701255355159,8.425623639076953,fallback_region:Latin America and Caribbean,saved/region_Latin_America_and_Caribbean.pkl
Hungary,HUN,Europe and Central Asia,2025,,,,no_model_insufficient_data,
Iceland,ISL,Europe and Central Asia,2025,,,,no_model_insufficient_data,
India,IND,South Asia,2025,0.04104313074265205,-0.47128125022988815,0.5217197098183166,country,saved/country_India.pkl
Indonesia,IDN,East Asia and Pacific,2025,-2.680242457665576,-20.0576572289905,14.87092478929256,country,saved/country_Indonesia.pkl
